generation,fitness_mean,fitness_min,fitness_max,fitness_std,fitness_p5,fitness_p10,fitness_p25,fitness_p75,fitness_p90,fitness_p95,unstable_states,n_nets,n_genes
42,0.7886151891830728,0.5866462195100317,0.8751733190429475,0.13221972736556445,0.5866462195100317,0.8751733190429475,0.5866462195100317,0.6587779943932607,0.8751733190429475,0.8751733190429475,0,10,5
43,0.7335179665667949,0.035673993347252395,0.8751733190429475,0.2589580088203202,0.2836114951205031,0.8751733190429475,0.5315489968937538,0.6587779943932607,0.8751733190429475,0.8751733190429475,1,10,5
44,0.8174678991363644,0.5866462195100317,0.8751733190429475,0.11541083981316631,0.5866462195100317,0.8751733190429475,0.5866462195100317,0.8751733190429475,0.8751733190429475,0.8751733190429475,0,10,5
45,0.791223386473378,0.035673993347252395,0.8751733190429475,0.2518497977087085,0.4134486899103152,0.8751733190429475,0.791223386473378,0.8751733190429475,0.8751733190429475,0.8751733190429475,1,10,5
46,0.791223386473378,0.035673993347252395,0.8751733190429475,0.2518497977087085,0.4134486899103152,0.8751733190429475,0.791223386473378,0.8751733190429475,0.8751733190429475,0.8751733190429475,1,10,5
47,0.8751733190429475,0.8751733190429475,0.8751733190429475,0.0,0.8751733190429475,0.8751733190429475,0.8751733190429475,0.8751733190429475,0.8751733190429475,0.8751733190429475,0,10,5
48,0.8751733190429475,0.8751733190429475,0.8751733190429475,0.0,0.8751733190429475,0.8751733190429475,0.8751733190429475,0.8751733190429475,0.8751733190429475,0.8751733190429475,0,10,5
49,0.7197561219995137,0.035673993347252395,1.0,0.34402832508347797,0.035673993347252395,0.9438279935693262,0.035673993347252395,0.8751733190429475,0.8751733190429475,0.8876559871386527,2,10,5
50,0.8014053664722866,0.30119421191220214,1.0,0.19335575879749892,0.4296476153312254,0.9438279935693262,0.5581010187502488,0.8751733190429475,0.8751733190429475,0.8876559871386527,0,10,5
51,0.631204813236351,0.035673993347252395,1.0,0.3083073636879627,0.15515809170147976,0.9438279935693262,0.27464219005570717,0.3725572138116595,0.8751733190429475,0.8876559871386527,1,10,5
52,0.7597624792297812,0.5866462195100317,0.8751733190429475,0.14134883416417166,0.5866462195100317,0.8751733190429475,0.5866462195100317,0.5866462195100317,0.8751733190429475,0.8751733190429475,0,10,5
53,0.7046652566135033,0.035673993347252395,0.8751733190429475,0.2576378826577577,0.2836114951205031,0.8751733190429475,0.5315489968937538,0.5866462195100317,0.8751733190429475,0.8751733190429475,1,10,5
54,0.6472673459004288,0.035673993347252395,0.8751733190429475,0.27650379180408735,0.15515809170147976,0.8751733190429475,0.27464219005570717,0.5866462195100317,0.8751733190429475,0.8751733190429475,1,10,5
55,0.5895619259938456,0.035673993347252395,0.8751733190429475,0.25193489053643087,0.15515809170147976,0.8751733190429475,0.27464219005570717,0.5866462195100317,0.8030415441597185,0.8751733190429475,1,10,5
56,0.6735118585634151,0.30119421191220214,0.8751733190429475,0.18412441576814656,0.4296476153312254,0.8751733190429475,0.5581010187502488,0.5866462195100317,0.8751733190429475,0.8751733190429475,0,10,5
57,0.5056119934242761,0.035673993347252395,0.8751733190429475,0.28097223225858986,0.035673993347252395,0.8751733190429475,0.035673993347252395,0.3725572138116595,0.5866462195100317,0.8751733190429475,2,10,5
58,0.7145397274189034,0.5866462195100317,1.0,0.16032389581332354,0.5866462195100317,0.9438279935693262,0.5866462195100317,0.5866462195100317,0.8751733190429475,0.8876559871386527,0,10,5
59,0.589254416800337,0.035673993347252395,0.8751733190429475,0.21679440523257779,0.2836114951205031,0.8751733190429475,0.5315489968937538,0.5866462195100317,0.5866462195100317,0.8751733190429475,1,10,5
60,0.6735118585634151,0.30119421191220214,0.8751733190429475,0.18412441576814653,0.4296476153312254,0.8751733190429475,0.5581010187502488,0.5866462195100317,0.8751733190429475,0.8751733190429475,0,10,5
61,0.6181071267536286,0.035673993347252395,0.8751733190429475,0.23311288438254504,0.2836114951205031,0.8751733190429475,0.5315489968937538,0.5866462195100317,0.8030415441597185,0.8751733190429475,1,10,5
62,0.5604017068470453,0.035673993347252395,0.8751733190429475,0.1949180691260996,0.2836114951205031,0.7453361242531351,0.5315489968937538,0.5866462195100317,0.5866462195100317,0.6154989294633232,1,10,5
